Version,Model,Transmission,Fuel,City,Road,Average
4/5PTS 2.0L 4CIL 160HP AUT,2015,AUT,Gasolina,14.66,22.56,17.4
SEDAN 4PTS 1.6L 4CIL 106HP AUT,2012,AUT,Gasolina,14.6,20.9,18.27
SEDAN 4PTS 1.6L 4CIL 106HP AUT,2013,AUT,Gasolina,14.6,20.9,18.27
SEDAN 4PTS 1.6L 4CIL 106HP AUT,2015,AUT,Gasolina,14.6,20.9,18.27
WAGON 4X4 5PTS 2.0L 4CIL 146HP AUT,2016,AUT,Gasolina,14.6,19.4,17.81
SEDAN 4PTS 1.6L 4CIL 106HP AUT,2016,AUT,Gasolina,14.6,20.9,18.27
2WD 5PTAS 1.6L 4CIL118HP MAN,2016,MAN,Gasolina,14.5,20.3,16.64
2WD 5PTAS 1.6L 4CIL118HP MAN,2015,MAN,Gasolina,14.5,20.3,16.64
2WD 5PTAS 1.6L 4CIL118HP MAN,2017,MAN,Gasolina,14.5,20.3,16.64
CGI 5PTAS 1.6L 4CIL 156HP TURBO AUT,2018,AUT,Gasolina,14.49,21.28,18.29
CGI 5PTAS 1.6L 4CIL 156HP AUT TURBO,2016,AUT,Gasolina,14.49,21.28,18.29
CGI 5PTAS 1.6L 4CIL 156HP MAN TURBO,2016,MAN,Gasolina,14.49,21.28,18.29
4PTAS 2.0L 4CIL 152HP CVT,2016,CVT,Gasolina,14.42,22.32,17.15
LX 4PTS 1.5L 4CIL 118HP MAN,2011,MAN,Gasolina,14.4,18.6,16.03
EX 4PTS 1.5L 4CIL 118HP MAN,2011,MAN,Gasolina,14.4,18.6,16.03
LX 4PTS 1.5L 4CIL 118HP MAN,2012,MAN,Gasolina,14.4,18.6,16.03
EX 4PTS 1.5L 4CIL 118HP MAN,2012,MAN,Gasolina,14.4,18.6,16.03
LX 4PTS 1.5L 4CIL 118HP MAN,2013,MAN,Gasolina,14.4,18.6,16.03
EX 4PTS 1.5L 4CIL 118HP MAN,2013,MAN,Gasolina,14.4,18.6,16.03
HATCHBACK 5PTS 1.5L 4CIL 102HP AUT,2015,AUT,Gasolina,14.4,18.8,17.48
4PTAS 1.6L 4CIL 113HP MT,2016,MAN,Gasolina,14.31,18.78,16.03
SEDAN 4PTS 2.5L 4CIL 185HP AUT,2014,AUT,Gasolina,14.3,21.5,16.84
4PTS 1.8L 4CIL 129HP MAN,2015,MAN,Gasolina,14.3,22.4,17.08
SEDAN 4PTS 2.5L 4CIL 188HP AUT,2015,AUT,Gasolina,14.3,21.7,18.27
s 4PTAS 2.5L 4CIL 188HP AUT R16,2016,AUT,Gasolina,14.3,21.7,16.89
i TOURING 4PTAS 2.5L 4CIL 188HP AUT R16,2017,AUT,Gasolina,14.3,21.7,16.89
4PTS 1.4L 4CIL 138HP MAN TURBO,2016,MAN,Gasolina,14.29,23.88,17.45
TDI 4PTS 1.9L 4CIL 100HP MAN TURBO DIESEL,2012,MAN,Diesel,14.29,21.74,18.27
TDI 4PTS 1.9L 4CIL 100HP MAN TURBO DIESEL,2013,MAN,Diesel,14.29,21.74,18.27
GP 4PTS 1.9L 4CIL 100HP MAN TDI,2011,M5,Diesel,14.29,21.74,18.27
SEDAN 4PTS 2.0L 4CIL 160HP MAN,2014,MAN,Gasolina,14.26,21.42,16.79
4PTS 1.8L 4CIL 129HP MAN,2013,MAN,Gasolina,14.25,22.36,17.03
4PTAS 1.8L 4CIL 129HP CVT,2016,MAN,Gasolina,14.25,22.36,17.03
5PTAS 1.6L 4CIL 122HP AUT,2017,AUT,Gasolina,14.22,20.28,17.81
5PTAS 1.6L 4CIL 122HP AUT,2018,AUT,Gasolina,14.22,20.28,17.81
5PTAS 1.6L 4CIL 122HP AUT,2016,AUT,Gasolina,14.22,20.28,16.43
HATCHBACK 5PTS 2.0L 4CIL 160HP MAN,2012,MAN,Gasolina,14.2,21.4,16.73
SEDAN 4PTS 2.0L 4CIL 160HP MAN,2012,MAN,Gasolina,14.2,21.4,16.73
HATCHBACK 5PTS 2.0L 4CIL 160HP MAN,2013,MAN,Gasolina,14.2,21.4,16.73
SEDAN 4PTS 2.0L 4CIL 160HP MAN,2013,MAN,Gasolina,14.2,21.4,16.73
FUN 5PTS 1.5L 4CIL 130HP CVT,2015,CVT,Gasolina,14.2,20.4,17.83
HIT 5PTS 1.5L 4CIL 130HP CVT,2015,CVT,Gasolina,14.2,20.4,17.83
SEDAN 4PTS 2.5L 4CIL 188HP MAN,2015,MAN,Gasolina,14.2,21.1,18.03
